TITLE,AUTHOR,UPLOAD_DATE,VIEW,CONTENT
전기료폭탄? 미친수도세? 손보다 안 깨끗? 식세기 3대 미신 직접 실험해봤다!ㅣ니돈내맘,귀곰,2022.8.5,280328,식세귀곰님 최근 다른 식세기 영상에서 식세기 올인원 세제 혹은 린스 사용시 잔여세제가 기준치보다 높다는 영상을봤는데 이에대해서는 혹시 보신적이 있는지 궁금하고 어찌 생각하시는지 궁금합니다 
전기료폭탄? 미친수도세? 손보다 안 깨끗? 식세기 3대 미신 직접 실험해봤다!ㅣ니돈내맘,귀곰,2022.8.5,280328,07:00 기존 디오스 식세기는 살짝 문만 잡아당겨서 일시정지 시킨 후 문 열면 물이 튀지 않습니다^^ 다음 버전 디오스 식세기에는 UV 보관모드가 들어갔으면 좋겠네영
전기료폭탄? 미친수도세? 손보다 안 깨끗? 식세기 3대 미신 직접 실험해봤다!ㅣ니돈내맘,귀곰,2022.8.5,280328,저도 엘지 식기세척기 쓰고 있는데 좋아요.  그런데 이 영상 보니 배달 플라스틱 씻어서 재활용하는 건 생각 못했는데 좋네요. 환경 생각하면 그냥 일반 쓰레기로 버리기 좀 그랬거든요. 그나저나 엘지 식기세척기 성능이 진짜 좋긴 좋군요.
전기료폭탄? 미친수도세? 손보다 안 깨끗? 식세기 3대 미신 직접 실험해봤다!ㅣ니돈내맘,귀곰,2022.8.5,280328,귀곰님 영상보고 식세기 마련해서ㅋㅋㅋ 너무나 만족하며 사용하고 있습니다!! 역시 백색가전은 엘지~
전기료폭탄? 미친수도세? 손보다 안 깨끗? 식세기 3대 미신 직접 실험해봤다!ㅣ니돈내맘,귀곰,2022.8.5,280328,식세기는 역시 주방의 최고 존엄~  주부습진으로 가려웠던 손과 작별한 것만으로도 행복합니다
전기료폭탄? 미친수도세? 손보다 안 깨끗? 식세기 3대 미신 직접 실험해봤다!ㅣ니돈내맘,귀곰,2022.8.5,280328,LG는 식세기 광고에 귀곰님 영상 URL주소 붙여야 한다고 생각함
전기료폭탄? 미친수도세? 손보다 안 깨끗? 식세기 3대 미신 직접 실험해봤다!ㅣ니돈내맘,귀곰,2022.8.5,280328,귀곰님. 식세기 옵션별리뷰도 좀 해주세요. 이번에 SK트리플케어 사면서 귀곰님 후기보고 결정했는데 모델별 옵션차로 가격차이가 꽤 크더군요. DWA90R5와DWA90C5놓고 고민했는데 차이가 배수구 UV살균과 물필터 유무더군요. 저 두 옵션의 가치가 40이상 차이가 있을까요? 이제는 옵션별 차에 대한 디테일필요합니다
전기료폭탄? 미친수도세? 손보다 안 깨끗? 식세기 3대 미신 직접 실험해봤다!ㅣ니돈내맘,귀곰,2022.8.5,280328,이 상품 사용중인데 냄새때문에 식세기쓰는게 그렇다고 해서 걱정했는데 스팀이 빵빵해서 그런지 냄새도 안나고 세척력은 말할것도 없고요ㅎ 정말 깨끗해질까했는데 처음 식세기썻던날 항상 사용하던 그릇들이 이렇게 깨끗해보일수 있구나 했던ㅋㅋ
전기료폭탄? 미친수도세? 손보다 안 깨끗? 식세기 3대 미신 직접 실험해봤다!ㅣ니돈내맘,귀곰,2022.8.5,280328,"배달 플라스틱 용기를 아무리 깨끗하게 세척해도 재활용 될 확률은 거의 없다고 합니다.  애초에 재질부터 재활용이 불가능한 코팅된 플라스틱이 대부분 입니다. 용기에 재활용 마크가 있어도 의미가 다릅니다. 우리가 분리수거로 배출하는 플라스틱의 대부분은 발전소에서 소각하여 에너지원으로 사용됩니다. 재활용 되는 플라스틱은 우리가 흔히 마시는 생수 용기 수준의 투명하고 깨끗한 코팅 안 된 용기 입니다.   삼프로TV의 재활용 전문가의 말을 인용하였으며, 제가 잘못 알고 있을 수 있습니다."
전기료폭탄? 미친수도세? 손보다 안 깨끗? 식세기 3대 미신 직접 실험해봤다!ㅣ니돈내맘,귀곰,2022.8.5,280328,이야~ 이건 질문이 있어도 없어야 할 리뷰네 가려운 곳까지 싹싹 긁어서 리뷰해주셨네
