userName,date,rating,like,title,review,content,content_n,cotent_n_spell
nonamehhhjjjj,2022-07-17 04:00:47-07:00,5,0,편해요,"비대면으로 모든게 가능해서 편해요! 어플도 사용하기
쉽게 되어 있어서 큰 어려움 없이 사용 가능합니다 ^^","편해요 비대면으로 모든게 가능해서 편해요! 어플도 사용하기
쉽게 되어 있어서 큰 어려움 없이 사용 가능합니다 ^^","['편', '해', '비', '면', '으', '게', '능', '해', '편', '해', '도', '기', '게', '려', '움', '능', '합', '니', '다']","['편해요', '비대면으로 모든 게 가능해서 편해요', '어플도 사용하기 쉽게 되어 있어서 큰 어려움 없이 사용 가능합니다']"
아쉽네용ㅠㅜ,2022-07-17 03:59:10-07:00,5,0,런드리고 짱짱맨,이불세탁을 자주 하는 편인데 무겁게 세탁소까지 가져가지 않아도 돼서 너무 편해요ㅠㅠ 셔츠류 금액도 저렴해서 자주 맡기게 돼요! 너무 좋아요 추천합니당,런드리고 짱짱맨 이불세탁을 자주 하는 편인데 무겁게 세탁소까지 가져가지 않아도 돼서 너무 편해요ㅠㅠ 셔츠류 금액도 저렴해서 자주 맡기게 돼요! 너무 좋아요 추천합니당,"['드', '리', '짱', '짱', '맨', '불', '세', '탁', '주', '편', '인', '무', '겁', '게', '세', '탁', '소', '도', '무', '편', '해', '츠', '류', '금', '액', '도', '해', '주', '기', '게', '무', '좋다', '추', '천', '합', '니', '다']","['런드리고 짱짱맨 이불 세탁을 자주 하는 편인데 무겁게 세탁소까지 가져가지 않아도 돼서 너무 편해요', '셔츠류 금액도 저렴해서 자주 맡기게 돼요', '너무 좋아요', '추천합니다']"
권five,2022-07-17 03:09:08-07:00,5,0,너무편하네요,여름철에 너무 편하네요 정말~~,너무편하네요 여름철에 너무 편하네요 정말~~,"['무', '편', '름', '철', '무', '편', '정', '말']","['너무 편하네요', '여름철에 너무 편하네요', '정말']"
리뷰어우어,2022-07-17 02:28:12-07:00,4,0,생각보다 너무 좋았던 세탁 서비스,"지인 추천으로 접하게 된 세탁어플.
하얀색 니트 얼룩 제거 요청을 했지만 사실 집에서 하는것보다 크게 깨끗해질 기대는 안했었는데 막상 받고보니 정말 만족스러웠다. 
슬랙스 바지도 각잡혀서 뽀송하게 받으니 새 옷 받은것같은 기분이 들었다.","생각보다 너무 좋았던 세탁 서비스 지인 추천으로 접하게 된 세탁어플.
하얀색 니트 얼룩 제거 요청을 했지만 사실 집에서 하는것보다 크게 깨끗해질 기대는 안했었는데 막상 받고보니 정말 만족스러웠다. 
슬랙스 바지도 각잡혀서 뽀송하게 받으니 새 옷 받은것같은 기분이 들었다.","['생', '보', '다', '무', '좋다', '았', '던', '세', '탁', '비', '인', '추', '천', '으', '접', '게', '세', '탁', '얀', '색', '니', '트', '얼', '청', '만', '실', '집', '보', '다', '게', '깨', '끗', '해', '기', '막', '상', '보', '니', '정', '말', '만', '족', '웠', '다', '슬', '랙', '바', '도', '잡', '혀', '뽀', '송', '게', '으', '니', '새', '옷', '은', '은', '기', '분', '다']",['생각보다 너무 좋았던 세탁 서비스 지인 추천으로 접하게 된 세탁 어플 하얀색 니트 얼룩 제거 요청을 했지만 사실 집에서 하는 것보다 크게 깨끗해질 기대는 안 했었는데 막상 받고 보니 정말 만족스러웠다 슬랙스 바지도 각 잡혀서 뽀송하게 받으니 새 옷 받은 것 같은 기분이 들었다']
yeye teri,2022-07-17 02:15:55-07:00,5,0,귀차니즘들의 소소한 행복,"진짜 퇴근 후 드라이 맡기러 가는게 세상에서 제일 귀찮아서
매일 한개씩 쌓여가는 옷들을 보며 내일은 진짜 세탁소 가야지 다짐하고 또 다짐하다가 결국 계절이 끝나서야 맡기는
저에게 너무나도 좋은 라이프스타일이에여 감사해여","귀차니즘들의 소소한 행복 진짜 퇴근 후 드라이 맡기러 가는게 세상에서 제일 귀찮아서
매일 한개씩 쌓여가는 옷들을 보며 내일은 진짜 세탁소 가야지 다짐하고 또 다짐하다가 결국 계절이 끝나서야 맡기는
저에게 너무나도 좋은 라이프스타일이에여 감사해여","['귀', '차', '니', '즘', '소', '소', '행', '복', '진', '퇴', '드', '기', '게', '세', '상', '귀', '찮', '개', '씩', '옷', '보', '며', '내', '은', '진', '세', '탁', '소', '다', '짐', '다', '짐', '다', '결', '국', '계', '절', '끝', '기', '게', '무', '도', '좋다', '은', '프', '타', '감', '해']","['귀차니즘들의 소소한 행복 진짜 퇴근 후 드라이 맡기러 가는 게 세상에서 제일 귀찮아서 매일 한 개씩 쌓여가는 옷들을 보며 내일은 진짜 세탁소 가야지 다짐하고 또 다짐하다가 결국 계절이 끝나서야 맡기는 저에게 너무나도 좋은 라이프스타일이에요', '감사해요']"
캐시워크힘,2022-07-17 02:05:22-07:00,5,0,런드리고 기대되는 생활,앞으로 정말 편하게 걱정없이 준비가 될거 같아요,런드리고 기대되는 생활 앞으로 정말 편하게 걱정없이 준비가 될거 같아요,"['드', '리', '기', '생', '활', '앞', '으', '정', '말', '편', '게', '걱', '정', '준', '비']",['런드리고 기대되는 생활 앞으로 정말 편하게 걱정 없이 준비가 될 거 같아요']
별바람해,2022-07-17 01:15:17-07:00,4,0,수거하러 오니 조아요,물론 수거배송료가 있는 거는 좀 아까워요 ㅠㅠ 얼마 이상 하면 무료면 좋겠구요 세탁/프리미엄 이렇게 되어있어서 드라이크리닝은 다 프리미엄인 줄 알고 프리미엄으로 했다가 ㅠㅠㅠ 돈 왕창 나와서 아깝네요 아직 받진 못했지만 어쨋든 앱은 한 번 익숙해지면 사용 용이할 듯 합니다,수거하러 오니 조아요 물론 수거배송료가 있는 거는 좀 아까워요 ㅠㅠ 얼마 이상 하면 무료면 좋겠구요 세탁/프리미엄 이렇게 되어있어서 드라이크리닝은 다 프리미엄인 줄 알고 프리미엄으로 했다가 ㅠㅠㅠ 돈 왕창 나와서 아깝네요 아직 받진 못했지만 어쨋든 앱은 한 번 익숙해지면 사용 용이할 듯 합니다,"['니', '좋다', '물', '론', '배', '송', '료', '워', '얼', '마', '상', '면', '무', '료', '면', '좋다', '세', '탁', '프', '리', '밉다', '엄', '렇', '게', '드', '리', '닝', '은', '다', '프', '리', '밉다', '엄', '인', '줄', '알', '프', '리', '밉다', '엄', '으', '다', '돈', '왕', '창', '깝', '직', '진', '못', '만', '앱', '은', '익', '숙', '해', '면', '합', '니', '다']","['수거하러 오니 좋아요 물론 수거 배송료가 있는 거는 좀 아까워요 얼마 이상 하면 무료면 좋겠고요', '세탁 프리미엄 이렇게 되어있어서 드라이클리닝은 다 프리미엄인 줄 알고 프리미엄으로 했다가 돈 왕창 나와서 아깝네요', '아직 받진 못했지만 어쨌든 앱은 한 번 익숙해지면 사용 용이할 듯합니다']"
ajy 402,2022-07-16 22:02:43-07:00,5,0,런드리고 덕분에 생활이 편리해졌어요,"빨래때문에 스트레스 많이 받았는데, 런드리고 닥분에 편리해졋습니다. 어플도 사용하기 쉽게 만들어졌네요 ! 수거 신청하고 하루만에 빨리 오는점도 차곡차곡 개서 오는 빨래도 너무 좋습니다. 앞으로도 애용할게요","런드리고 덕분에 생활이 편리해졌어요 빨래때문에 스트레스 많이 받았는데, 런드리고 닥분에 편리해졋습니다. 어플도 사용하기 쉽게 만들어졌네요 ! 수거 신청하고 하루만에 빨리 오는점도 차곡차곡 개서 오는 빨래도 너무 좋습니다. 앞으로도 애용할게요","['드', '리', '덕', '분', '생', '활', '편', '리', '해', '빨', '문', '트', '레', '많다', '았', '드', '리', '덕', '분', '편', '리', '해', '습', '니', '다', '도', '기', '게', '만', '신', '청', '루', '만', '빨', '리', '점', '도', '차', '곡', '차', '곡', '개', '빨', '도', '무', '좋다', '습', '니', '다', '앞', '으', '도', '애', '게']","['런드리고 덕분에 생활이 편리해졌어요 빨래 때문에 스트레스 많이 받았는데 런드리고 덕분에 편리해졌습니다 어플도 사용하기 쉽게 만들어졌네요', '수거 신청하고 하루 만에 빨리 오는 점도 차곡차곡 개서 오는 빨래도 너무 좋습니다', '앞으로도 애용할게요']"
설탕엄,2022-07-16 21:15:12-07:00,5,0,세탁이 편해요,"요즘은 옛날처럼 세탁~ 하면서 세탁물 걷으러 오시는 세탁소도 없고 그렇다고 이불이나 롱패딩 같은 큰 빨래를 집에서 하거나 들고 맡기러 가기도 불편했는데 한여름이 되어서야 겨울빨래 보냅니다.
첫 수거 맡겼는데 빠르게 잘 오길 바라고 있어요.","세탁이 편해요 요즘은 옛날처럼 세탁~ 하면서 세탁물 걷으러 오시는 세탁소도 없고 그렇다고 이불이나 롱패딩 같은 큰 빨래를 집에서 하거나 들고 맡기러 가기도 불편했는데 한여름이 되어서야 겨울빨래 보냅니다.
첫 수거 맡겼는데 빠르게 잘 오길 바라고 있어요.","['세', '탁', '편', '해', '즘', '은', '옛', '날', '처', '럼', '세', '탁', '면', '세', '탁', '물', '으', '시', '세', '탁', '소', '도', '렇', '다', '불', '롱', '패', '딩', '은', '빨', '집', '기', '기', '도', '불', '편', '름', '겨', '울', '빨', '보', '니', '다', '첫', '빠', '르', '게', '길', '바']","['세탁이 편해요', '요즘은 옛날처럼 세탁하면서 세탁물 걷으러 오시는 세탁소도 없고 그렇다고 이불이나 롱패딩 같은 큰 빨래를 집에서 하거나 들고 맡기러 가기도 불편했는데 한여름이 되어서야 겨울 빨래 보냅니다첫 수거 맡겼는데 빠르게 잘 오길 바라고 있어요']"
2012다이아,2022-07-16 20:42:18-07:00,5,0,세상편해요,"몇일 드라이어기가 망가져 일반빨래까지 보냈는데 정말 깨끗하게 빨렸고 착착접어주시니 너무 편했어요
스토어에서 수건도 사서 쓰는데 너무나도 보드랍고 두둑해 좋아요^^","세상편해요 몇일 드라이어기가 망가져 일반빨래까지 보냈는데 정말 깨끗하게 빨렸고 착착접어주시니 너무 편했어요
스토어에서 수건도 사서 쓰는데 너무나도 보드랍고 두둑해 좋아요^^","['세', '상', '편', '해', '며', '드', '기', '망', '반', '빨', '보', '정', '말', '깨', '끗', '게', '빨', '렸', '착', '착', '접', '주', '시', '니', '무', '편', '토', '도', '무', '도', '보', '드', '랍', '두', '둑', '해', '좋다']","['세상 편해요', '며칠 드라이어기가 망가져 일반 빨래까지 보냈는데 정말 깨끗하게 빨렸고 착착 접어주시니 너무 편했어요', '스토어에서 수건도 사서 쓰는데 너무나도 보드랍고 두둑해 좋아요']"
