title,content,date
읽어 봄직한 IT기업 뉴스,"
오늘의 늬우스 (200120)☘️
[미래에셋대우 박원재]



정부, 지능형 반도체 'R&D 로드맵' 발표…""AI 프로세서·자율차 SoC 개발""<전자신문>
http://bit.ly/2RxXH87



화웨이 배제로 세계 5G 비용 약 30% 증가...옥스포드 이코노믹스 보고서<전자신문>
http://bit.ly/38nINs4



AI가 모바일 하드웨어 혁신 주도한다<블로터>
http://bit.ly/2Rt8Mr4



갤S20·V60씽큐… 5G폰 10종 이상 나온다<디지털타임스>
http://bit.ly/2txtoXe



접는 폰, 빠른 폰, 눈 좋은 폰<조선일보>
http://bit.ly/2TBe86l



MS, 클라우드 시장서 역전할까?<아이뉴스24>
http://bit.ly/2Ruu085



Intel CPU shortages likely to persist through end-2020<Digitimes>
http://bit.ly/2NIYr9n



Naver (http://bit.ly/2RxXH87)",2020-01-20
LG V60 씽큐 후면 실물 유출,"
 



 
 



 
 



 
추가적인 정보로는 OnLeaks에 의해 유출되었던 
G9의 렌더링과 일치하다고 합니다
4G 모델을 G9이라 칭하고 5G 모델은 V60이라고
칭하는 듯합니다
G9과 V60이 동시에 출시될 가능성도
배제시킬 수는 없을 것 같습니다



출처 - http://www.slashleaks.com/l/lg-v60-thinq-back-glass-leaked
 ",2020-01-09
LG퓨리케어 공기청정기 연결하려는데 비밀번호가 틀리다고 나옵니다.,"
LG퓨리케어 공기청정기를 스마트씽큐 앱으로 컨트롤 하려고 연결하려고 합니다.
1년전에 사서 앱 연동하고 잘 써왔는데 몇달전 공유기를 한번 바꾼뒤로 이게 앱으로 컨트롤할 수 없게 되었습니다.
비밀번호를 넣으라고 하는데 제가 생각나는 비밀번호는 다 넣어봤는데 전부 안되네요.
설명서를 보니 특문같은거 넣지 말라고 하는데 와이파이 이름에 특문 들어가는것도 없고 비밀번호도 예전이랑 같은데... 와이파이 이름만 달라졌을뿐 이게 왜 안되는지 모르겠습니다.
인터넷을 아무리 폭풍 검색해봐도 동일 증상으로 해결했다는 글이 전혀 없어서 해결을 못하고 있습니다.
비밀번호 넣으라는곳에서 도대체 어떤걸 넣으라는건가요?
집에 설치된 와이파이 비밀번호인지, 아님 최초로 앱에 등록할때 생성된 비밀번호인지, 혹시나 리셋 하는 방법은 없는지...
아시는 분 계시면 답변 부탁드립니다.
 



 
 ",2020-01-04
읽어 봄직한 IT기업 뉴스,"
오늘의 늬우스 (191226)☘️
[미래에셋대우 박원재, 차유미]



삼성디스플레이, QD디스플레이 투자 새해로 밀릴 듯 <전자신문>
https://bit.ly/2sbWjzA



中 반도체 투자 의지 여전…미-중 무역분쟁에도 '반도체굴기'는 이어졌다 <전자신문>
https://bit.ly/34UAXE5



삼성폰, 애플·화웨이 대비 다운로드 속도 우위... 15개국 중 10개국서 1위 <전자신문>
https://bit.ly/2PTA22l



더 뜨거워진 8K 목장의 결투 韓中日 프리미엄 TV 쏟아진다 <디지털타임스>
https://bit.ly/34WCUzC



웹OS 오토 매력에 빠진 퀄컴·MS… LG전자, 車전장사업 영토확장 <디지털타임스>
https://bit.ly/2tOVrRH



힘 못쓰는 美 화웨이 제재…유럽 국가 속속 이탈 <ZDnet>
https://bit.ly/2SpDgwf



LG V60 씽큐, 내년 2월 MWC서 베일 벗는다 <ZDnet>
https://bit.ly/374pe7a



접는 폴더블폰 흥행에 부품업체도 가슴 편다 <조선비즈>
https://bit.ly/37crtFU



삼성이 중국서 받은 '산타 선물'… 330만원 폴더블폰도 완판 행진 <조선비즈>
https://bit.ly/2MsN70x



Samsung insider says Galaxy S11 might have a completely new name <BGR>
https://bit.ly/396xCoN



Highlights of the day: US may tighten Huawei ban <DIGI Times>
https://bit.ly/376gu0v",2019-12-26
LG 75인치 TV 결정 장애 도움 요청,"
1. LG전자 75UK7400KNA - 최저가 155만원
-한국 내수용, 매직리모컨 포함, 벽걸이 설치 포함(선없는 타입 아님)



기본사양
TV화면크기
75인치(188~191cm)
형태
평면형
종류
LED
디스플레이
패널
IPS패널
기술
HDR, HLG, HDR10, Super울트라HD(나노스펙트럼+)
내장스피커
음향
DTS VirtualX
스마트기능
스마트
인공지능씽큐, 웹OS4.0, 매직리모컨
공유기능
화면공유
미라캐스트, Wi-Di
부가기능
부가기능
블루투스, 스마트기능, 사운드싱크
USB기능
USB재생(동영상,사진,음악)
녹화기능
타임머신
HDD별매
네트워크
LAN
유,무선랜
인터페이스
출시년도
2018년형
단자
HDMI, USB, HDMI(4개), 컴포넌트, USB(2개), 컴포지트, LAN, RF
규격
에너지효율
4등급
크기(스탠드제외)
169.3 x 97.8 x 8.9cm
두께
8.88cm
제품무상보증
1년
패널무상보증
2년






2. LG전자 75UM6970PUB(해외전용) - 최저가 125만원
- 미국 내수용, 매직리모컨 별매, 스탠드 기본 벽걸이 별도 비용 발생



기본사양
TV화면크기
75인치(188~191cm)
형태
평면형
종류
LED
디스플레이
잔상제거
120Hz(트루모션)
패널
IPS패널
기술
HDR, HLG, HDR10
화질
기능
UHD업스케일
MR
120
내장스피커
음향
20W(2채널)
스마트기능
스마트
인공지능씽큐, 웹OS, 인터넷, 앱스토어, 매직리모컨(별매)
공유기능
화면공유
에어플레이
부가기능
부가기능
블루투스, 사운드싱크
USB기능
USB재생(동영상,사진,음악)
네트워크
LAN
유,무선랜
인터페이스
출시년도
2019년형
단자
HDMI(3개), 컴포지트, USB(2개), Optical, LAN, RF
제품무상보증
1년
패널무상보증
1년









6000대 7000대 차이도 있을까요?
어느 제품을 추천하시겠어요?
가격이 좀처럼 내리지 않는데 크리스마스 쯤 되며 내리까요?
조언 부탁드립니다",2019-12-16
G7 씽큐 1년 사용만에 고장나신 분 계신가요?,"



 
항상 믿거로 LG폰을 걸러오기는 했지만 불과 1년전 저의 실수로 인하여 어머니의 폰을 가격이 좋아서 G7으로 변경해드렸습니다.
 
그런데 오늘 어머니에게 폰의 전원이 갑자기 들어오지 않는다는 이야기를 듣고 너무나 당황스러웠습니다.
 
어머니 성격 상 핸드폰으로 하는 게 없으니 무리가 갈일이 없는데 말이죠..
 
외부적인 충격, 충전 등 이런 부분은 전혀 불량이 없었고 갑자기 잘 사용하시다가 핸드폰 전원이 켜지지 않는다고 합니다..
 
당장 내일 lg 서비스센터를 예약하려고하니 예약은 다 꽉차서 불가능하고 너무나 당황스럽네요..
 
실사용 기간이 1년 조금 넘어가고 있는데 혹시 동일한 증상을 경험하신 분이 계신가요? ",2019-12-15
4G 듀얼 스크린폰  엘지 G8X,"

LG전자가 LG G8X 씽큐(국내명 LG V50S 씽큐)와 LG 듀얼 스크린을 앞세워 일본 프리미엄 스마트폰 시장을 공략한다.LG전자는 최근 일본 이동통신사 소프트뱅크를 통해 LG G8X를 출시했다고 8일 밝혔다. LG G8X는 소프트뱅크 매장, 전자제품 양판점 등 일본 주요 도시에 위치한 5000여 개 매장에서 판매된다.LG전자가 일본에 프리미엄 스마트폰을 출시한 것은 지난해 1월 이후 처음이다. LG전자는 ""LG G8X가 일본 프리미엄 스마트폰 시장 재진입의 교두보 역할을 하게 될 것으로 기대하고 있다""고 설명했다.
 
일본에서 성공할수 있을까요 
",2019-12-08
"LG전자, G8 씽큐 안드로이드 10 업데이트 배포","
target=aHR0cHM6Ly93d3cuZ3NtYXJlbmEuY29tL2xnX2c4X3RoaW5xX2FuZHJvaWRfMTBfdXBkYXRlX3NvdXRoX2tvcmVhLW5ld3MtNDAzNDkucGhwKQ==&encode=on0d4b5d0c53c2a0e00c1dd019d.jpg"" />

 


LG전자가 G8 씽큐에 안드로이드 10 업데이트 배포를 개시했습니다.
소프트웨어 버전은 G820N20c로, 11/1/2019자 보안 패치가 포함되어 있습니다.
현재 국내에서 베타 테스터를 대상으로 먼저 진행 중이며, 문제가 없을 경우 곧 일반으로 확대될 것으로 예상됩니다.
출처: GSMArena ( https://www.gsmarena.com/lg_g8_thinq_android_10_update_south_korea-news-40349.php )

 
 
 
엘지도 요새 OS업뎃 빠릿빠릿하네요.
 
이런 사소하지만 제일 중요한 기본기부터 내실을
 
다지길.. ",2019-12-02
LG전자 V50S ThinQ 시그니처 에디션 출시 가능성,"
target=aHR0cHM6Ly93d3cuYXNpYXRpbWUuY28ua3IvbmV3cy9uZXdzdmlldy5waHA/bmNvZGU9MTA2NTU4Njk0NTgzNzA4MSZkdD1tKQ==&encode=onb9981765c28ae0d3d2a3742b772d2e.png"" />

LG전자가 내년 초 세 번째 '시그니처 에디션'을 내놓을 수 있다는 가능성이 제기됐다. 올해 상·하반기 제품인 V50 씽큐(ThinQ)와 V50S 씽큐의 장점을 한 데 모으는 한편, 전반적인 스펙 또한 개선한 제품이 될 것이라는 분석이다. 
21일 업계에 따르면, LG전자의 상반기 전략 스마트폰 V50 씽큐의 두 번째 파생작(제품명 OMD-LM-V520N)이 지난 11일 이동통신사 전산에 등록됐다.  
(후략)
출처: 아시아타임즈 ( https://www.asiatime.co.kr/news/newsview.php?ncode=1065586945837081&dt=m )
 
 
설마 시그니처 에디션도 FHD+ 일지..",2019-11-21
중고 스마트폰 추천  부탁드려요,"
삼성에서는
갤7과 갤8 크게 차이 없는것같고
갤9과 갤10 비슷한듯해서
 
갤9
 
엘지에서는 
 
g7 씽큐 나 g8 정도 괜찮으것같고요
 
아이폰으로는잘 안써봐서 모르겠네요
 
각 브랜드별
중고 추천폰 부탁드립니다
 ",2019-11-19
읽어 봄직한 IT기업 뉴스,"
오늘의 늬우스 (191114)☘️
[미래에셋대우 박원재, 차유미]



애플, 아이폰·에어팟 보험상품에 법으로 막은 부가세 부과  <전자신문>
http://bit.ly/2QiYXwL



인텔, AI 영토 확장…에지 컴퓨팅 시장에 '깃발'  <전자신문>
http://bit.ly/2KkdjcN



LG 씽큐 앱 150여개국서 사용중 <디지털타임스>
http://bit.ly/2qervx1



삼성, 왓챠와 HDR10+ 생태계 확산 맞손  <디지털타임스>
http://bit.ly/2NIeKUm



M&A효과에 쑥쑥 커지는 SKC 동박 사업  <디지털타임스>
http://bit.ly/2qO9iGs



中 샤오미, 퀀텀닷·OLED TV까지 넘본다  <ZDnet>
http://bit.ly/2XgvV2C



""내년 D램 시장, 5G로 성장..중국이 최대 고객"" <ZDnet>
http://bit.ly/33Mad95



美가 6개월을 때렸는데도… 화웨이 '마이웨이'  <조선비즈>
http://bit.ly/2CKqajW



화웨이 접는 폰, 추우면 못접어?  <조선비즈>
http://bit.ly/2pfSN5z



iPhone privacy: We accessed your phone's camera but it was a 'bug', says Facebook <ZDnet>
https://zd.net/2KjSM8e



Highlights of the day: Chinese DRAM firm CXMT ramps up 19nm production <DIGI Times>
http://bit.ly/33GlB6h",2019-11-14
LG씽큐앱은 ㅋㅋㅋ완전 저세상 앱인듯...,"
이렇게 멍청한 IOT앱은 또 처음보네요...
 
앱 개편한다고 해서 좀 빨라지고 안정화되나 봤더니
 
개편한지 1주일도 안되서
 
제품목록 다 죽어버림.ㅋㅋㅋㅋㅋ
 
 
 
시그니처 제품만 안뜨더니
 
이제는 다 안뜨네요......
 
쓰달대기없는 음성인식 넣기전에
 
연결성부터 해결하든가
 
 
 
아니면 삼성 스마트 띵스에 넘기든가
 
아니면 샤오미한테 넘겨 ㅜㅡㅜ
 
 
 



 ",2019-11-13
LG V50 씽큐 게임 패드 사용기!,"
 



 



 



 
https://funfunhan.com/2476668
 ",2019-11-03
"""미니 노트북 수준""…외신, 북미판 LG듀얼스크린 '호평'","
이달 1일 북미 시장에 출시된 LG G8X 씽큐와 듀얼 스크린에 외신이 호평을 내놓고 있다.포브스는 ""G8X 씽큐와 듀얼 스크린은 더 나은 멀티 태스킹 기능을 제공한다""며 ""특히 디스플레이 하나를 키보드처럼 사용해 단말을 '미니 노트북'처럼 사용할 수 있는 옵션을 제공해 업무 수행에 좋다""고 호평했다.IT매체 씨넷은 ""G8X 씽큐는 그 자체로 매력적이고 가격경쟁력이 있는 단말이고, 더 비싼 갤럭시 폴드에 대한 확신이 없는 사람들에게 듀얼 스크린은 유용한 옵션""이라며 ""멀티태스킹과 게이밍을 쉽게 해준다""고 평가했다.",2019-11-03
지구 직구티비 가격 조언좀 부탁드려요,"
75um6970 
엘지 ai 씽큐 2019 년식인데
 
쿠폰이랑 스마일카드 청구할인 합치면
121 만원이네요
 
블프때는 이것보다 더 쌀까요?
블프를 한번도 한적이 없어서 감기 안잡히네요 ",2019-11-01
"LG전자, 로봇청소기 레이싱대회 열어","
http://www.businesspost.co.kr/BP?command=naver&num=148579
 




참가자들은 코드제로R9씽큐를 


 


프리미엄 스마트폰 LG V50S씽큐로 조작해 


 


9가지 미션으로 이뤄진 50미터 주행코스를 주파한다. 

 
 
 
참신하긴 한데
 
조종이 되나요?
 
음성인식으로 조종하는건가",2019-10-28
어머니가 호갱을 당하신거 같습니다..ㅜㅜ,"
 
어머니가 5개월전에 kt대리점에서 g7 씽큐로 바꾸셨는데
 
공시지원금 받고 50만얼마 나오는걸
 
대리점에서 지원하준다며 대신 3년 약정을 걸었다고 하네요.
 
현재 개통한지 5개월 지내셨는데
 
통신사를 skt로 옮기면 대리점에서 위약금을 청구하나요?
 
대리점에서 3년 약정을 했다는게 법적으로 효력이 있는건지 궁금합니다... 선택약정도 못하고 g7 씽큐를
호갱당하신거같아서 너무 속상해서 여쭤봅니다 ㅠㅠ
 
휴포님들 한번만 알려주시면 정말 감사드릴게요!",2019-10-27
