title,content,date
읽어 봄직한 IT기업 뉴스,"
[키움/전기전자 김지산]
전기전자 Daily News (22.1.3)



1. 국내뉴스
▶️[CES 2022] 삼성·LG, 혁신 제품·기술 대거 공개(ZDNet)
- 삼성 세계 첫 4K 240Hz 모니터, LG 오브제컬렉션·올레드TV 풀라인업 공개
- CES는 오는 5일 수요일부터 8일 토요일(미국시간 기준)까지 미국 라스베이거스에서 온∙오프라인으로 열릴 예정



 
▶️'알짜사업' 기판 힘 주는 LG이노텍...FC-BGA 신사업 속도(전자신문)
- 카메라 모듈 사업보다 영업이익률이 높고 시장 성장세도 가팔라
- 시장에서는 LG이노텍이 FC-BGA에 '조 단위' 대형 투자를 할 것이라고 예상되어



 
▶️올해에 미국·유럽 35조원대 배터리 공장 투자(전자신문)
- 연간 500만대 전기차용 배터리를 생산할 수 있는 규모
- 중국 장비의 품질 이슈가 불거지면서 한국 기업이 혜택을 볼 것이라는 전망이 우세



 
▶️'中에 밀린' 삼성 AP, 반등 노린다…다음달 11일 신제품 공개(디지털데일리)
- 삼성, 22년 2월 출시할 ‘갤럭시S22’ 시리즈에 탑재되는 차세대 AP ‘엑시노스2200’를 1월 11일에 발표할 예정
- 엑시노스2200은 전작(엑시노스2100) 대비 CPU 성능 5%, GPU 성능 17% 향상
- 삼성은 갤럭시 시리즈의 엑시노스 탑재 비중을 50%~60%까지 끌어올릴 방침



 
▶️中과 가까워지는 애플…럭스쉐어, 아이폰 생산공장 늘린다(디지털데일리)
- 애플 공급업체인 중국 럭스쉐어, 아이폰 생산공장 확충에 나서
- 중국 장쑤성에 110억위안(약 2조532억원)을 투자해 생산공장을 지을 계획



 



2. 해외뉴스
▶️중국 화웨이, 2021년 매출이 30% 감소했다고 밝혀(reuters)
- 올해 매출 6340억 위안(994억8000만 달러, -29% YoY) 
- 정보통신기술(ICT) 인프라와 스마트 기기에 계속 집중할 것이라 밝힘



 
▶️중국, 2022년까지 신에너지 자동차 보조금 30% 삭감(reuters)
- 중국 재무부, 웹사이트를 통해 2022년까지 전기차와 같은 신에너지 차량(NEV)에 대한 보조금을 30% 삭감하고 연말까지 전액 철회할 것이라 밝힘
- 세계 최대 자동차 시장인 중국은 2025년까지 플러그인 하이브리드와 수소연료전지차를 포함한 NEV가 자동차 판매의 20%를 차지한다는 목표 수립



 

[한투증권 전기전자/핸드셋 조철희]
1월3일 IT 주요뉴스



● [CES 2022] 삼성·LG, 혁신 제품·기술 대거 공개
-삼성전자는 이번 CES에서 신형 갤럭시S21FE를 첫 공개할 뿐 아니라 비스포크, 모니터, TV, 스마트싱스 등을 대거 전시할 예정
-LG전자는 LG 올레드 에보 라인업을 필두로 2022년형 올레드 TV 풀 라인업을 공개할 예정






● CES 2022 관전 포인트 '스마트홈·디지털헬스·로봇·NFT'
-IT 가전 및 통신 업체들은 이번 CES에서 AI와 IoT가 적용된 스마트홈과 스마트시티 기술을 대거 선보일 예정
-삼성전자는 스마트홈 플랫폼 스마트싱스를 기반으로한 서비스를 LG전자는 스마트홈 플랫폼 LG씽큐를 기반으로한 가전을 공개할 것






● '알짜사업' 기판 힘 주는 LG이노텍...FC-BGA 신사업 속도
-LG이노텍 기판소재사업은 통신용 반도체 시장 확대와 신사업 본격화로 성장이 가속화될 전망. 5G 안테나 모듈용 기판 시장에서 51% 점유율로 1위 기록
-FC-BGA 사업에도 조단위 투자 예상. 기판 사업 영역을 자동차, 서버, PC 등으로 확장할 계획






● 폴더블폰 대중화 이끈 삼성…2022년 전망은
- 2021년 갤럭시 Z시리즈 판매량은 전년대비 4배 증가
- 유비리서치는 올해 삼성디스플레이의 폴더블 OLED 출하량을 1800만대로 전망



",2022-01-03
삼성제트봇ai와 엘지코드제로씽큐 로봇청소기 둘다사려는데 별로일까요?,"
저렴한건 사도 제대로 청소못할꺼같아서
흡입전용인 제트봇ai와 물걸레전용 엘지 코드제로 씽큐m970
이렇게 두개사서 쓸까하는데 두개합치면 금액이 170이나 되서 좀 고민되네요 값어치 할까요?",2021-12-03
아니 왜 FHD+ 해상도를 무시하는지 모르겠네요...,"
요즘 QHD+ 해상도 액정의 휴대폰이 많이 나오는데...
FHD+ 해상도의 액정이 눈에 표시가난다고 하는분들이 종종 있네요...
그런데....10인치도 아니고..
6.5인치나 6.7인치에서
대략 30~35Cm정도 떨어진 액정의 화소를 제대로 체감이 가능한 분이 얼마나 있을지 모르겠네요.....
 
참고로 사람눈이 인식하는 ppi의 값의 관한 기사 내용입니다..
""

우리가 30㎝ 이내에서 보는 스마트폰 해상도는 몇 ppi 정도면 될까. 시력 1.0인 사람이 30㎝에서 차이를 인식할 수 있는 ppi는 약 291개이며, 초인적인 시력으로 볼 수 있는 ppi는 약 727개다. 삼성전자 ‘갤럭시노트9’, LG전자 ‘V40 씽큐’ 등 요즘 최신 프리미엄 스마트폰 화면이 550ppi 안팎이다. 보통의 좋은 눈으로 구별할 수 있는 한계치의 두 배에 육박한다.


""
",2021-08-31
"[G마켓] LG 제습기 20L 블루 DQ200PBBC (474,000원/무료) 쿠폰&국민카드최종가 399,600원","
지난 달에 캐리어 18리터 뽐게에 올렸는데 가격은 좋지만 소음에 대한 의견이 좀 많았었는데요.

그래서 저도 계속 엘지나 삼성 주시하고 있었거든요.

오늘 지마켓에서 엘지 20L 제습기가 괜찮은 가격에 나와서 공유 드립니다.
 

 



 

평소 최저가가 446,820원인데 어디는 서울만 무료 배송이고 경기는 3만 지방은 5만원 붙는 상품이긴해요.
(그럼 제 기준에선 47만6천원가량이구요.)

오늘 지마켓 가격은 47만4천원에 누구나 받는 10% 쿠폰폰으로 3만원빠지면 444,000원이고
국민카드 있으시면 10% 44,400원 빠져서 399,600원이 나옵니다. (롯데나 삼성은 5%로 421,800원 나와요.)


 
 

 
 

 
 

 
 
 

배송비는 전국 무료구요. 그리고 엘지전자 공식판매점입니다.


제품에 대해 좀 살펴보자면 20L 제습을 하고 물통은 1리터가 늘어난 5리터 통이라고 하네요.
물통도 분리시 물이 넘쳐 나오지 않을거 같은 구조네요.
제가 사용하고 있는 제품들은 가로 방향으로 힘을 주어 빼는건데 만수일땐 언제나 넘치거든요.ㅠㅠ

그리고 엘지 씽큐가 되기 때문에 어디서든 제습기 제어가 가능합니다.

예전 글에도 정전보상 관련 덧글이 있었는데 엘지 스마트씽큐가 되면 문제 해결이네요.
또 소비전력도 333W로 중소기업 제품들보다 적구요.
 
 
 
 
 
 ",2021-08-18
lg 씽큐에 에너지 조회가 안되는데요.,"
이번에 lg 시스템 에어컨 설치후.
오늘 와이파이 모듈설치를 완료했는데.
 
어디를 봐도 에너지 모니터링이라는 메뉴가 없네요.
왜 안나오는걸까요?",2021-08-10
와이파이 lg씽큐를통해 연결됨 이거 뭘까요?,"
 



Lg가전을 많이쓰고있어서 씽큐기능을 쓰기는하는데
와이파이연결 시 마치 씽큐를통해 연결된것처럼 메세지가 나오네요
어떤의미인걸까요?",2021-08-07
삼성 vs 엘지 75인치 티비 고민입니다!!,"
안녕하세요
75인치 티비 구매하려고 하는데 둘중 어떤걸 사야할지요...
삼성이 24만원가량 저렴한데
LG를 24만원 더 주고 살만할까요???
 
주로 티비 시청이고 그동안 잘 못했던 플스를 좀 할 예정입니다.(그란투리스모)
 

LG전자 75UN7850KNA : 네이버 쇼핑종류 : LED, TV화면크기 : 75인치(188~191cm), 해상도 : UHD(4K), 패널 : IPS패널, 스마트 : 인공지능씽큐, 출시년도 : 2020년형, 기술 : HDR, 부가기능 : WiFi, 인터랙션 : 음성인식, 음향 : 공간인식사운드+, 잔상제거 : 60Hz, 단자 : HDMI(4개), LAN : 유선랜, 에너지효율 : 1등급, 소비전력 : 240W, 평균소비전력 : 72.2W, 대기전력 : 0.5W, 형태 : 평면형, 스탠드디자인 : 엣지, 무게(스탠드제외) : 34.6kg, 두께 : 8.9cmhttps://search.shopping.naver.com/catalog/22952455490?NaPm=ct%3Dkqu3zb00%7Cci%3D652a7c3dbc0daf5772bf453bfdb6fc2078fd47e0%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D0bbc15c15369a830193aa7857871d89e713d62c4&query=%ED%8B%B0%EB%B9%84   삼성전자 삼성 KU75UT7000FXKR : 네이버 쇼핑종류 : LED, TV화면크기 : 75인치(188~191cm), 해상도 : UHD(4K), 스마트 : 인터넷, 출시년도 : 2020년형, 기술 : HDR, USB기능 : USB재생(동영상,사진,음악), 부가기능 : 블루투스, 파일공유 : WiFi다이렉트, 화면공유 : 스크린미러링, 음향 : 20W(2채널), 엔진 : 크리스탈프로세서, 단자 : HDMI(2개), LAN : 유,무선랜, 에너지효율 : 3등급, 제품무상보증 : 1년, 패널무상보증 : 2년, 형태 : 평면형https://search.shopping.naver.com/catalog/22213483051?NaPm=ct%3Dkqu3ype8%7Cci%3D92a719ec5daceba96f7588118a4e8967123108c5%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D52d8754ae09f0c5f131784ff1be54fafad97a54f&query=%ED%8B%B0%EB%B9%84   
",2021-07-08
"애플, 북미서도 LG폰 최대 20만원 보상","

'아이폰으로 바꿔라'..애플, 북미서도 LG폰 최대 20만원 보상(지디넷코리아=황정빈  기자) LG전자가 오는 31일 휴대폰 사업을 종료하는 가운데, 애플이 해외 중고 보상 판매 프로그램에 LG전자 스마트폰 4종을 추가했다. 지난 5월 국내에 LG전자 스마트폰 중고 보상 정책을 진행한 데 이어, 해외 중고 보상 프로그램에도 LG 스마트폰 4종을 신규 추가한 것이다. 애플은 LG 스마트폰의 점유율이 높은 국내 및 북미 시https://v.kakao.com/v/kKpesSYZxk  LG 스마트폰을 반납하고 아이폰(아이폰12·12프로·SE·11·XR)을 구매하면 최대 180달러까지 보상해준다. LG V60 씽큐 5G는 최대 180달러(약 20만원), V50 씽큐는 125달러(약 14만원), V40 씽큐는 65달러(약 7만원), G8 씽큐는 70달러(약 8만원)까지 보상해준다. 우리나란 기종상관없이 15였었죠?
",2021-07-02
lg 제습기 음소거 기능은 없나요?,"
띵띵소리 은근 크네요..
 
그리고 하나더 질문 할께요..엘지씽큐 앱 들어가면 밑에 광고 5개 있는데 이거 못지우나요?",2021-05-31
lw2217ivsm 지금사는건 바보같은짓일까요?,"
리퍼로 구입할거고, 지금시키면 7월 초에옵니다
그전까진 중고로 작은거 하나사서 사용할려고하는데
너무 무모한가요 벽걸이 설치도 가능하긴한데 타공부터 다해야하고 lv2217ivsm에 비하면 국내에서 엘지 인버터 벽걸이모델은 평수대비 가격이 너무비싸요 ㅜㅜ.. 설치도 인증된 회사에서 받으려면 더 비싸지고..
전세집이라 지금부터 오래살아야 2-3년입니다
가격은 현지세금포함 약 56만원, 해상배송비 27만원 예상합니다
 전 구축아파트 17평형에 살아서 거실에 설치할예정이고요, 
베란다가있어 안그래도 결로때문에 다음달에 수리예정인데 수리마치고 베란다 바깥창에 설치해 베란다포함해서 냉방돌리면 어떨까합니다 내부창에 설치하기엔 세탁기가 베란다에있어 왔다갔다해야하는데 에어컨 크기가크다보니 설치시 문을 못열어요 ㅜㅜ 문열게 하려면 할순있지만 좀번거로워질거같아요
 
인버터에 엘지 제품으로 꼭 사려고하는 이유는 더위 많이타는편이고 최상층이라 한여름에 굉장히 더울거같아 풀가동 하려면 전기세도 부담이 큰것과, 집에 고양이가 있어 외출시 낮에는 씽큐앱으로 온오프가 가능해서입니다 ㅜㅜ 
 
삼성벽걸이도 알아봤는데 에어컨은 무조건 엘지라는 말도있고 무풍은 관리가 중요하다해서요,, 집이 살짝 습한편이라 무슨 에어컨을 사든 관리는 잘해야하지만 무풍은 조금 더 부담스럽습니다
 
답정너같은 글이지만 주변에선 대부분 가격대비 배송비가 너무 비싸다하면서 말리네요 ㅎㅎ...그래서 정말 제 생각이 바보같은지 여쭤보려 글씁니다
 



 
 
 ",2021-05-16
