userName,date,rating,like,title,review,content,content_n,cotent_n_spell
멋진찬이,2022-07-05 23:25:48-07:00,5,0,와 정말 획기적인 서비스,아파트안에 있는 불친절한 새탁소 이용하다가 와이프가 이럼사비스가 있으니 한번 이용해보자고해서 하나만 테스트로 이용해보았는데 깔끔하고 포장도 예쁘게햐서 놀라웠습니다 다음에 또 이용할게요 이벤트가 많았으면 해요^^,와 정말 획기적인 서비스 아파트안에 있는 불친절한 새탁소 이용하다가 와이프가 이럼사비스가 있으니 한번 이용해보자고해서 하나만 테스트로 이용해보았는데 깔끔하고 포장도 예쁘게햐서 놀라웠습니다 다음에 또 이용할게요 이벤트가 많았으면 해요^^,"['와 정말 획기적인 서비스 아파트 안에 있는 불친절한 세탁소 이용하다가 와이프가 이럼 서비스가 있으니 한번 이용해보자고 해서 하나만 테스트로 이용해보았는데 깔끔하고 포장도 예쁘게 해서 놀라웠습니다', '다음에 또 이용할게요 이벤트가 많았으면 해요']","['와 정말 획기적인 서비스 아파트 안에 있는 불친절한 세탁소 이용하다가 와이프가 이럼 서비스가 있으니 한번 이용해보자고 해서 하나만 테스트로 이용해보았는데 깔끔하고 포장도 예쁘게 해서 놀라웠습니다', '다음에 또 이용할게요 이벤트가 많았으면 해요']"
:)링란,2022-07-05 20:21:48-07:00,5,0,자주사용하는 앱!,다른데서 사용해봤는 데 문고리에 걸어두는 게 전부였었어요. 런드리고는 세심해서 더 좋고 무엇보다 체계가 좋은 것 같아 만족합니다,자주사용하는 앱! 다른데서 사용해봤는 데 문고리에 걸어두는 게 전부였었어요. 런드리고는 세심해서 더 좋고 무엇보다 체계가 좋은 것 같아 만족합니다,"['자주 사용하는 앱 다른 데서 사용해봤는데 문고리에 걸어두는 게 전부였었어요', '런드리고는 세심해서 더 좋고 무엇보다 체계가 좋은 것 같아 만족합니다']","['자주 사용하는 앱 다른 데서 사용해봤는데 문고리에 걸어두는 게 전부였었어요', '런드리고는 세심해서 더 좋고 무엇보다 체계가 좋은 것 같아 만족합니다']"
영화조오오오아,2022-07-05 20:02:33-07:00,5,0,너무 편해요,바쁜 와중에 빨래를 맡기고 찾는것도 일이고 집에 건조기가 없어서 여름엔 수건 빨래 너무 힘들었는데 런드리고 덕분에 편하게 생활하고 있습니다~,너무 편해요 바쁜 와중에 빨래를 맡기고 찾는것도 일이고 집에 건조기가 없어서 여름엔 수건 빨래 너무 힘들었는데 런드리고 덕분에 편하게 생활하고 있습니다~,"['너무 편해요', '바쁜 와중에 빨래를 맡기고 찾는 것도 일이고 집에 건조기가 없어서 여름엔 수건 빨래 너무 힘들었는데 런드리고 덕분에 편하게 생활하고 있습니다']","['너무 편해요', '바쁜 와중에 빨래를 맡기고 찾는 것도 일이고 집에 건조기가 없어서 여름엔 수건 빨래 너무 힘들었는데 런드리고 덕분에 편하게 생활하고 있습니다']"
ㅎ로ㅗ오어,2022-07-05 18:03:10-07:00,5,0,세탁 특공대 쓸바에 이거쓰지,좋네요,세탁 특공대 쓸바에 이거쓰지 좋네요,['세탁 특공대 쓸 바에 이거 쓰지 좋네요'],['세탁 특공대 쓸 바에 이거 쓰지 좋네요']
프애네이,2022-07-05 15:10:27-07:00,5,0,좋아요,편해요,좋아요 편해요,"['좋아요', '편해요']","['좋아요', '편해요']"
이방인027,2022-07-05 13:53:35-07:00,5,0,런드리고 최고!,세탁과 빨래 고민에서 해방됨,런드리고 최고! 세탁과 빨래 고민에서 해방됨,['런드리고 최고 세탁과 빨래 고민에서 해방됨'],['런드리고 최고 세탁과 빨래 고민에서 해방됨']
IBCMMNDRKN,2022-07-05 13:31:17-07:00,5,0,깔끔하네요,너무 편리하고 깔끔하고 수원에 살고있는데 배송기사님도 친절하시구 짱이에요!! 런드리고 완전 추천합니다!!!,깔끔하네요 너무 편리하고 깔끔하고 수원에 살고있는데 배송기사님도 친절하시구 짱이에요!! 런드리고 완전 추천합니다!!!,"['깔끔하네요', '너무 편리하고 깔끔하고 수원에 살고 있는데 배송기사님도 친절하시고 최고예요', '런드리고 정말 추천합니다']","['깔끔하네요', '너무 편리하고 깔끔하고 수원에 살고 있는데 배송기사님도 친절하시고 최고예요', '런드리고 정말 추천합니다']"
heartcushion,2022-07-05 10:25:25-07:00,5,0,굿,세탁기 고장으로 생활빨래도 신청해봤는데 완전 굿굿!!! 향도 너무 좋고 보송하네요,굿 세탁기 고장으로 생활빨래도 신청해봤는데 완전 굿굿!!! 향도 너무 좋고 보송하네요,['굿 세탁기 고장으로 생활 빨래도 신청해봤는데 완전 굿굿 향도 너무 좋고 보송하네요'],['굿 세탁기 고장으로 생활 빨래도 신청해봤는데 완전 굿굿 향도 너무 좋고 보송하네요']
Haha젤리네,2022-07-05 08:58:13-07:00,5,0,빠른배송,"빠른 배송 아주 만족스럽습니다 
한동안 런드리고만 이용할듯싶네요","빠른배송 빠른 배송 아주 만족스럽습니다 
한동안 런드리고만 이용할듯싶네요","['빠른 배송 빠른 배송 아주 만족스럽습니다', '한동안 런드리고 만 이용할듯싶네요']","['빠른 배송 빠른 배송 아주 만족스럽습니다', '한동안 런드리고 만 이용할듯싶네요']"
;ㅡㅡㅡㅎㄱㅁ,2022-07-05 08:05:34-07:00,5,0,기대됩니다,밀린 빨래 처리하기 너무 귀찮아서 찾다가 만나게 되었습니다. 다만 첫 이용시 리터 계산은 어떻게 되는지 잘 모르겠습니다. 일단 이용해 볼께용,기대됩니다 밀린 빨래 처리하기 너무 귀찮아서 찾다가 만나게 되었습니다. 다만 첫 이용시 리터 계산은 어떻게 되는지 잘 모르겠습니다. 일단 이용해 볼께용,"['기대됩니다 밀린 빨래 처리하기 너무 귀찮아서 찾다가 만나게 되었습니다', '다만 첫 이용 시 리터 계산은 어떻게 되는지 잘 모르겠습니다', '일단 이용해 볼게요']","['기대됩니다 밀린 빨래 처리하기 너무 귀찮아서 찾다가 만나게 되었습니다', '다만 첫 이용 시 리터 계산은 어떻게 되는지 잘 모르겠습니다', '일단 이용해 볼게요']"
